n_features,features,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std
5,"min_temp_f, mean_temp_f, mean_humidity_pct, precip_in, previous_irrigation_amount",0.8622541386990541,0.013711555810382475,0.03184609863912842,0.0013627076843180572
5,"min_temp_f, mean_temp_f, precip_in, days_since_rain, previous_irrigation_amount",0.8556185466649622,0.011123572561812532,0.032626063813850234,0.0009996827058476846
5,"min_temp_f, mean_temp_f, precip_in, previous_irrigation_amount, day_of_year",0.8549469692529696,0.012402000672583157,0.03269414182174265,0.0011363806837529158
5,"min_temp_f, mean_temp_f, precip_in, previous_irrigation_amount, month",0.854941154284487,0.012332923185642566,0.03269527982485559,0.0011287229823593024
5,"min_temp_f, mean_temp_f, precip_in, avg_wind_mph, previous_irrigation_amount",0.8545529404835438,0.011776020532303892,0.03274273076569998,0.0010583795408030284
5,"min_temp_f, mean_temp_f, precip_in, precip_5day_sum_in, previous_irrigation_amount",0.8540988184497673,0.012424015159525839,0.03279052436265466,0.001133836559073419
5,"max_temp_f, min_temp_f, mean_humidity_pct, precip_in, previous_irrigation_amount",0.8538999449536945,0.014043650093428225,0.03280215720315942,0.0013424808959356595
5,"min_temp_f, mean_temp_f, precip_in, precip_3day_sum_in, previous_irrigation_amount",0.8538713504980322,0.011758177873066426,0.032820532968498885,0.0010592969662125023
5,"min_temp_f, mean_temp_f, mean_humidity_pct, previous_irrigation_amount, day_of_year",0.8537356697834039,0.015493682175630814,0.032808283248507465,0.0015351683701186505
5,"min_temp_f, mean_temp_f, mean_humidity_pct, previous_irrigation_amount, month",0.8536906602407408,0.015300877039248848,0.03281486851284247,0.001510601200206529
5,"min_temp_f, mean_temp_f, precip_in, temp_3day_avg_f, previous_irrigation_amount",0.8536178433452406,0.012113457378613976,0.032846453896333,0.0010919588382484991
5,"min_temp_f, mean_temp_f, mean_humidity_pct, previous_irrigation_amount, days_since_irrigation",0.8535109669679877,0.014822636250553358,0.03283922182216237,0.0014660869099976618
5,"min_temp_f, mean_temp_f, precip_in, wind_3day_avg_mph, previous_irrigation_amount",0.853399337522814,0.011986077938843698,0.03287162416231856,0.0010772264984780983
5,"min_temp_f, mean_temp_f, mean_humidity_pct, precip_in, day_of_year",0.8533141152780971,0.015197149852691038,0.03285779063191131,0.0014586700306308974
5,"min_temp_f, mean_temp_f, mean_humidity_pct, precip_in, month",0.8532150907163036,0.01496283088138932,0.03287074752628993,0.0014283693605181998
5,"max_temp_f, min_temp_f, mean_temp_f, precip_in, previous_irrigation_amount",0.8531251432690103,0.012219933476476506,0.03290124586372343,0.0011091150959649729
5,"min_temp_f, mean_temp_f, mean_humidity_pct, max_wind_mph, previous_irrigation_amount",0.8530390286898347,0.01615319152998436,0.03288186962459443,0.001628618589494071
4,"min_temp_f, mean_temp_f, precip_in, previous_irrigation_amount",0.8530305233054876,0.01212010388716039,0.03291246797601271,0.001098024012471743
5,"min_temp_f, mean_temp_f, precip_in, previous_irrigation_amount, days_since_irrigation",0.8530194550563526,0.01203091539790599,0.032914076830034,0.001093028615229993
5,"min_temp_f, mean_temp_f, precip_in, max_wind_mph, previous_irrigation_amount",0.8529188320526153,0.01216034613931269,0.03292482364933603,0.0011023512564638611
5,"min_temp_f, mean_temp_f, precip_in, temp_5day_avg_f, previous_irrigation_amount",0.8528588283039571,0.011931791599673123,0.03293290564014967,0.001072061528262262
5,"min_temp_f, mean_temp_f, mean_humidity_pct, days_since_rain, previous_irrigation_amount",0.8517960794910161,0.01498343330943121,0.03303061440821604,0.0014580951184596195
5,"min_temp_f, mean_temp_f, mean_humidity_pct, precip_3day_sum_in, previous_irrigation_amount",0.8517762513604398,0.015742907615834485,0.0330270946749443,0.0015515680767261059
5,"min_temp_f, mean_temp_f, mean_humidity_pct, wind_3day_avg_mph, previous_irrigation_amount",0.8513013415846047,0.015841664690031582,0.033079692432439564,0.0015672292044340962
5,"min_temp_f, mean_temp_f, mean_humidity_pct, temp_3day_avg_f, previous_irrigation_amount",0.8512784649623072,0.015558140899179859,0.03308438388336406,0.0015199794974189852
5,"min_temp_f, mean_temp_f, mean_humidity_pct, avg_wind_mph, previous_irrigation_amount",0.8512438790508373,0.01590513453009914,0.03308556314152007,0.0015726961046258218
5,"max_temp_f, min_temp_f, mean_temp_f, mean_humidity_pct, previous_irrigation_amount",0.8511606753515327,0.015925460570509295,0.03309488466084302,0.0015679241146246306
4,"min_temp_f, mean_temp_f, mean_humidity_pct, previous_irrigation_amount",0.8510303670593095,0.015728807178189537,0.033110796080428904,0.0015439025266924796
